in s,C1 in V
-9.36814026E+01,-3.852844E-05
-9.36722473E+01,-3.028870E-05
-9.36630920E+01,-3.349304E-05
-9.36539368E+01,-2.189636E-05
-9.36447815E+01,-3.166199E-05
-9.36356262E+01,-2.128601E-05
-9.36264709E+01,-3.425598E-05
-9.36173156E+01,-1.792908E-05
-9.36081604E+01,-2.449036E-05
-9.35990051E+01,-2.861023E-05
-9.35898498E+01,-1.899719E-05
-9.35806945E+01,-9.384155E-06
-9.35715392E+01,-1.548767E-05
-9.35623840E+01,-1.853943E-05
-9.35532287E+01,-8.163452E-06
-9.35440734E+01,-1.274109E-05
-9.35349181E+01,-1.152039E-05
-9.35257628E+01,-1.502991E-05
-9.35166076E+01,-1.274109E-05
-9.35074523E+01,-1.213074E-05
-9.34982970E+01,-1.045227E-05
-9.34891417E+01,-7.247925E-06
-9.34799864E+01,-1.060486E-05
-9.34708312E+01,-6.790161E-06
-9.34616759E+01,-1.091003E-05
-9.34525206E+01,-2.059937E-06
-9.34433653E+01,-1.091003E-05
-9.34342100E+01,-8.392334E-07
-9.34250548E+01,-6.942749E-06
-9.34158995E+01,-8.316040E-06
-9.34067442E+01,-1.731873E-05
-9.33975889E+01,-6.332397E-06
-9.33884336E+01,-9.078979E-06
-9.33792784E+01,-9.384155E-06
-9.33701231E+01,-5.874634E-06
-9.33609678E+01,-1.121521E-05
-9.33518125E+01,-9.536743E-06
-9.33426572E+01,-1.258850E-05
-9.33335020E+01,-1.029968E-05
-9.33243467E+01,-2.220154E-05
-9.33151914E+01,-1.289368E-05
-9.33060361E+01,-1.060486E-05
-9.32968808E+01,-4.959106E-06
-9.32877256E+01,-7.858276E-06
-9.32785703E+01,-1.014709E-05
-9.32694150E+01,-4.959106E-06
-9.32602597E+01,-8.621216E-06
-9.32511044E+01,-2.212524E-06
-9.32419492E+01,-9.536743E-06
-9.32327939E+01,-8.163452E-06
-9.32236386E+01,-1.167297E-05
-9.32144833E+01,-1.602173E-06
-9.32053280E+01,-8.621216E-06
-9.31961728E+01,-4.196167E-06
-9.31870175E+01,-1.907349E-06
-9.31778622E+01,-7.705688E-06
-9.31687069E+01,-8.010864E-06
