in s,C1 in V
-9.37546448E+01,4.545517E+00
-9.37454896E+01,4.543686E+00
-9.37363343E+01,4.544296E+00
-9.37271790E+01,4.544296E+00
-9.37180237E+01,4.545517E+00
-9.37088684E+01,4.543076E+00
-9.36997132E+01,4.544296E+00
-9.36905579E+01,4.544601E+00
-9.36814026E+01,4.544144E+00
-9.36722473E+01,4.544601E+00
-9.36630920E+01,4.544907E+00
-9.36539368E+01,4.545517E+00
-9.36447815E+01,4.544144E+00
-9.36356262E+01,4.543686E+00
-9.36264709E+01,4.544144E+00
-9.36173156E+01,4.544601E+00
-9.36081604E+01,4.543686E+00
-9.35990051E+01,4.543686E+00
-9.35898498E+01,4.546280E+00
-9.35806945E+01,4.544601E+00
-9.35715392E+01,4.544754E+00
-9.35623840E+01,4.545517E+00
-9.35532287E+01,4.546127E+00
-9.35440734E+01,4.543228E+00
-9.35349181E+01,4.544144E+00
-9.35257628E+01,4.545212E+00
-9.35166076E+01,4.545059E+00
-9.35074523E+01,4.543228E+00
-9.34982970E+01,4.544754E+00
-9.34891417E+01,4.545364E+00
-9.34799864E+01,4.542465E+00
-9.34708312E+01,4.544754E+00
-9.34616759E+01,4.546127E+00
-9.34525206E+01,4.545364E+00
-9.34433653E+01,4.544296E+00
-9.34342100E+01,4.545212E+00
-9.34250548E+01,4.545059E+00
-9.34158995E+01,4.543381E+00
-9.34067442E+01,4.544296E+00
-9.33975889E+01,4.545975E+00
-9.33884336E+01,4.545822E+00
-9.33792784E+01,4.543991E+00
-9.33701231E+01,4.544907E+00
-9.33609678E+01,4.546432E+00
-9.33518125E+01,4.544144E+00
-9.33426572E+01,4.544449E+00
-9.33335020E+01,4.545212E+00
-9.33243467E+01,4.545517E+00
-9.33151914E+01,4.543686E+00
-9.33060361E+01,4.544144E+00
-9.32968808E+01,4.545822E+00
-9.32877256E+01,4.543381E+00
-9.32785703E+01,4.542923E+00
-9.32694150E+01,4.543991E+00
-9.32602597E+01,4.544296E+00
-9.32511044E+01,4.543228E+00
-9.32419492E+01,4.543381E+00
-9.32327939E+01,4.544601E+00
-9.32236386E+01,4.544449E+00
-9.32144833E+01,4.545212E+00
-9.32053280E+01,4.545364E+00
-9.31961728E+01,4.547348E+00
-9.31870175E+01,4.544907E+00
-9.31778622E+01,4.544144E+00
-9.31687069E+01,4.544601E+00
-9.31595516E+01,4.544296E+00
-9.31503964E+01,4.543381E+00
-9.31412411E+01,4.543228E+00
-9.31320858E+01,4.545822E+00
-9.31229305E+01,4.544144E+00
-9.31137752E+01,4.543686E+00
-9.31046200E+01,4.545212E+00
-9.30954647E+01,4.545975E+00
-9.30863094E+01,4.542923E+00
-9.30771541E+01,4.543839E+00
-9.30679988E+01,4.544601E+00
-9.30588436E+01,4.544144E+00
-9.30496883E+01,4.543686E+00
-9.30405330E+01,4.544144E+00
-9.30313777E+01,4.544296E+00
-9.30222224E+01,4.541855E+00
-9.30130672E+01,4.543839E+00
-9.30039119E+01,4.544144E+00
-9.29947566E+01,4.545212E+00
-9.29856013E+01,4.544907E+00
-9.29764460E+01,4.544296E+00
-9.29672908E+01,4.546127E+00
-9.29581355E+01,4.544449E+00
-9.29489802E+01,4.544144E+00
-9.29398249E+01,4.545364E+00
-9.29306696E+01,4.546280E+00
-9.29215144E+01,4.543839E+00
